Code,Parent,Name_fr
"31111","3111","Techniciens des sciences chimiques"
"31112","3111","Techniciens des sciences physiques"
"31120","3112","Conducteur de travaux et techniciens du génie civil, sip"
"31121","3112","Conducteurs de travaux, secteur principal de la construction"
"31122","3112","Conducteurs de travaux, second œuvre"
"31130","3113","Techniciens en électricité"
"31140","3114","Techniciens en électronique"
"31150","3115","Techniciens en construction de machines, technique système, automation et processus d'entreprise, sip"
"31151","3115","Techniciens en construction de machines"
"31152","3115","Techniciens en technique système et automation"
"31153","3115","Techniciens en processus d'entreprise"
"31160","3116","Techniciens en chimie industrielle"
"31170","3117","Techniciens des mines, techniciens métallurgistes"
"31180","3118","Dessinateurs industriels, sip"
"31181","3118","Dessinateurs industriels, machines"
"31182","3118","Dessinateurs industriels, bâtiment"
"31183","3118","Dessinateurs industriels, technique du bâtiment"
"31184","3118","Dessinateurs industriels, géomatique"
"31190","3119","Techniciens des sciences physiques et techniques non classés ailleurs"
"31200","3120","Superviseurs des mines, des industries manufacturières et contremaîtres du bâtiment, sip"
"31210","3121","Superviseurs, mines"
"31220","3122","Superviseurs, industries manufacturières"
"31230","3123","Contremaîtres, bâtiment, sip"
"31231","3123","Contremaîtres, bâtiment, secteur principal de la construction"
"31232","3123","Contremaîtres, bâtiment, second œuvre"
"31300","3130","Techniciens, contrôle de processus industriels, sip"
"31310","3131","Conducteurs d’installations de production d’énergie"
"31320","3132","Conducteurs d’incinérateurs et d’installations de traitement de l’eau"
"31330","3133","Conducteurs d’installations de traitement chimique"
"31340","3134","Conducteurs d’installations de raffinage de pétrole et de gaz naturel"
"31350","3135","Contrôleurs des processus industriels, métallurgie"
"31390","3139","Techniciens, contrôle de processus industriels non classés ailleurs"
"31400","3140","Techniciens et travailleurs assimilés des sciences de la vie, sip"
"31410","3141","Techniciens des sciences de la vie (à l’exception de la médecine)"
"31420","3142","Techniciens, agriculture et élevage"
"31430","3143","Techniciens, sylviculture"
"31500","3150","Contrôleurs et techniciens des moyens de transport maritime et aérien, sip"
"31510","3151","Officiers mécaniciens de navires"
"31520","3152","Officiers de pont et pilotes"
"31530","3153","Pilotes d’avions et assimilés"
"31540","3154","Contrôleurs de la circulation aérienne"
"31550","3155","Techniciens de la sécurité aérienne"
"32000","3200","Professions intermédiaires de la santé, sip"
"32100","3210","Techniciens de la médecine et de la pharmacie, sip"
"32110","3211","Techniciens d’appareils électromédicaux"
"32120","3212","Techniciens de laboratoire médical"
"32130","3213","Techniciens et assistants pharmaciens et préparateurs en pharmacie"
"32140","3214","Techniciens de prothèses médicales et dentaires"
"32200","3220","Personnel soignant et sages-femmes (niveau intermédiaire), sip"
"32210","3221","Personnel soignant (niveau intermédiaire)"
"32220","3222","Sages-femmes (niveau intermédiaire)"
"32300","3230","Praticiens des médecines traditionnelles et des médecines complémentaires"
"32400","3240","Techniciens et assistants vétérinaires"
"32500","3250","Autres professions intermédiaires de la santé, sip"
"32510","3251","Hygiénistes dentaires"
"32511","3251","Assistants en médecine dentaire"
"32520","3252","Techniciens de dossiers médicaux"
"32530","3253","Agents de santé communautaire"
"32540","3254","Opticiens"
"32550","3255","Techniciens et assistants en physiothérapie"
"32560","3256","Assistants médicaux"
"32570","3257","Inspecteurs, salubrité de l’environnement et de la santé au travail, et assimilés"
"32580","3258","Ambulanciers"
"32590","3259","Professions intermédiaires de la santé non classées ailleurs"
"33000","3300","Professions intermédiaires, finance et administration, sip"
"33100","3310","Professions intermédiaires de la finance et des mathématiques, sip"
"33110","3311","Courtiers en valeurs et cambistes"
"33120","3312","Responsables des prêts"
"33130","3313","Professions intermédiaires de la comptabilité"
"33140","3314","Professions intermédiaires de la statistique, des mathématiques et assimilées"
"33150","3315","Commissaires-priseurs et autres experts en évaluation"
"33200","3320","Agents de vente et d’achat, courtiers, sip"
"33210","3321","Agents d’assurances"
"33220","3322","Représentants et techniciens commerciaux"
"33230","3323","Acheteurs"
"33240","3324","Courtiers en marchandises"
"33300","3330","Agents de services commerciaux, sip"
"33310","3331","Transitaires"
"33320","3332","Organisateurs de conférences et d’événements"
"33330","3333","Agents d’emploi et de recrutement de main-d’œuvre"
"33340","3334","Agents immobiliers"
